request_id,barangay,municipality,province,sitio,request_type,urgency_level,severity_level,impact_scope,location_type,time_reported,weather_condition,past_similar_reports,ml_priority,final_priority
1,Bagumbayan,Santa Cruz,Laguna,Sitio 3,Garbage Collection,Low,Severe,29,School Zone,Morning,Storm,1,Low,High
2,Bagumbayan,Santa Cruz,Laguna,Sitio 4,Streetlight Repair,Low,Severe,140,Residential Area,Morning,Normal,3,High,High
3,Bagumbayan,Santa Cruz,Laguna,Sitio 5,Garbage Collection,Urgent,Minor,130,Public Facility,Afternoon,Normal,7,High,High
4,Bagumbayan,Santa Cruz,Laguna,Sitio 6,Tree Obstruction,Low,Minor,72,Commercial Area,Afternoon,Normal,3,High,High
5,Bagumbayan,Santa Cruz,Laguna,Sitio 4,Road Damage,Low,Minor,87,Commercial Area,Afternoon,Storm,4,High,High
6,Bagumbayan,Santa Cruz,Laguna,Sitio 5,Road Damage,Urgent,Moderate,12,Highway,Morning,Storm,4,Moderate,Moderate
7,Bagumbayan,Santa Cruz,Laguna,Sitio 6,Road Damage,Urgent,Minor,93,Residential Area,Night,Normal,4,High,High
8,Bagumbayan,Santa Cruz,Laguna,Sitio 4,Water Leakage,Low,Minor,21,Highway,Night,Rainy,2,Low,Low
9,Bagumbayan,Santa Cruz,Laguna,Sitio 6,Water Leakage,Normal,Minor,95,Residential Area,Night,Storm,2,High,High
10,Bagumbayan,Santa Cruz,Laguna,Sitio 2,Public Safety Incident,Urgent,Minor,137,Highway,Afternoon,Storm,3,High,High
11,Bagumbayan,Santa Cruz,Laguna,Sitio 7,Streetlight Repair,Low,Minor,84,Commercial Area,Afternoon,Rainy,1,High,High
12,Bagumbayan,Santa Cruz,Laguna,Sitio 3,Garbage Collection,Urgent,Severe,55,Highway,Afternoon,Storm,7,High,High
13,Bagumbayan,Santa Cruz,Laguna,Sitio 2,Water Leakage,Normal,Minor,37,Public Facility,Afternoon,Storm,6,High,High
14,Bagumbayan,Santa Cruz,Laguna,Sitio 5,Public Safety Incident,Low,Minor,93,Residential Area,Morning,Normal,2,High,High
15,Bagumbayan,Santa Cruz,Laguna,Sitio 5,Road Damage,Urgent,Moderate,41,Highway,Afternoon,Storm,7,High,High
16,Bagumbayan,Santa Cruz,Laguna,Sitio 7,Streetlight Repair,Normal,Severe,136,Residential Area,Night,Storm,4,High,High
17,Bagumbayan,Santa Cruz,Laguna,Sitio 4,Flooding,Low,Moderate,88,Highway,Morning,Storm,4,High,High
18,Bagumbayan,Santa Cruz,Laguna,Sitio 1,Water Leakage,Low,Severe,129,Public Facility,Night,Normal,2,High,High
19,Bagumbayan,Santa Cruz,Laguna,Sitio 7,Streetlight Repair,Low,Severe,96,Public Facility,Afternoon,Rainy,0,High,High
20,Bagumbayan,Santa Cruz,Laguna,Sitio 2,Streetlight Repair,Normal,Moderate,29,School Zone,Night,Normal,1,Moderate,High
21,Bagumbayan,Santa Cruz,Laguna,Sitio 7,Flooding,Low,Severe,125,School Zone,Night,Rainy,2,High,High
22,Bagumbayan,Santa Cruz,Laguna,Sitio 4,Garbage Collection,Urgent,Severe,68,Public Facility,Night,Storm,3,High,High
23,Bagumbayan,Santa Cruz,Laguna,Sitio 6,Power Outage,Normal,Severe,80,Highway,Night,Rainy,1,High,High
24,Bagumbayan,Santa Cruz,Laguna,Sitio 3,Streetlight Repair,Low,Minor,64,Public Facility,Night,Normal,3,High,High
25,Bagumbayan,Santa Cruz,Laguna,Sitio 6,Streetlight Repair,Low,Severe,2,School Zone,Morning,Normal,5,Low,High
26,Bagumbayan,Santa Cruz,Laguna,Sitio 3,Public Safety Incident,Urgent,Minor,19,School Zone,Night,Normal,7,Low,High
27,Bagumbayan,Santa Cruz,Laguna,Sitio 2,Road Damage,Normal,Moderate,63,Residential Area,Night,Rainy,5,High,High
28,Bagumbayan,Santa Cruz,Laguna,Sitio 7,Streetlight Repair,Normal,Moderate,109,Residential Area,Morning,Rainy,5,High,High
29,Bagumbayan,Santa Cruz,Laguna,Sitio 2,Public Safety Incident,Low,Minor,28,School Zone,Afternoon,Normal,4,Low,High
